location,source,target,id,fuzzy,context,developer_comments
"src/components/DownloadButton/DownloadButton.js","ByteFence Anti-Malware application is not compatible with your operating system.","","error.downloadBlocked",false,"error.downloadBlocked","error.downloadBlocked"
"src/components/DownloadButton/DownloadButton.js","Download Error",Nedlastingsfeil,"error.downloadError",false,"error.downloadError","error.downloadError"
"src/components/DownloadButton/DownloadButton.js",OK,OK,"error.ok",false,"error.ok","error.ok"
"src/components/DownloadButton/DownloadButton.test.js,src/components/UiButton/RavButton.test.js","TRY FOR FREE","","header.test",false,"try for free top button","try for free top button"
"src/components/Footer/messages.js",Company,Selskap,"footer.link.company",false,"Footer Company Link","Footer Company Link"
"src/components/Footer/messages.js","Contact Us","Kontakt oss","footer.link.contactUs",false,"Footer contactUs Link","Footer contactUs Link"
"src/components/Footer/messages.js","ByteFence Free","Byte<strong>Fence <span>Free</span></strong>","footer.link.free",false,"Footer Bytefence Free Link","Footer Bytefence Free Link"
"src/components/Footer/messages.js","ByteFence Pro","Byte<strong>Fence <span>Pro</span></strong>","footer.link.pro",false,"Footer Bytefence Pro Link","Footer Bytefence Pro Link"
"src/components/Footer/messages.js",Renew,"Kjøp | Forny","footer.link.renew",false,"Footer Bytefence Renew Link","Footer Bytefence Renew Link"
"src/components/Footer/messages.js",Support,Support,"footer.link.support",false,"Footer support Link","Footer support Link"
"src/components/Footer/messages.js","Privacy Policy",Privatpolis,"footer.privacy",false,"Footer Privacy policy link","Footer Privacy policy link"
"src/components/Footer/messages.js","Terms of Use","","footer.terms",false,"Footer Terms link","Footer Terms link"
"src/components/Footer/messages.js",About,Om,"footer.title.about",false,"Footer Bytefence About title","Footer Bytefence About title"
"src/components/Footer/messages.js","Help And Support","Hjelp og støtte","footer.title.helpAndSupport",false,"Footer helpAndSupport title","Footer helpAndSupport title"
"src/components/Footer/messages.js",Products,Produkter,"footer.title.products",false,"Footer products title","Footer products title"
"src/components/Plan/messages.js","Choose Plan","Velg plan","plan.btnTxt",false,"plan.btnTxt","plan.btnTxt"
"src/components/RCSPopUp/RCSPopUp.js","TRY NOW","","rcsPopUp.button",false,"rcsPopUp button","rcsPopUp button"
"src/components/RCSPopUp/RCSPopUp.js","check out","","rcsPopUp.link",false,"rcsPopUp link","rcsPopUp link"
"src/components/RCSPopUp/RCSPopUp.js","We’ve just launched a new antivirus software, which includes all of Reason Core Security features and more!","","rcsPopUp.subTitle",false,"rcsPopUp sub title","rcsPopUp sub title"
"src/components/RCSPopUp/RCSPopUp.js","Now you can scan and remove viruses and other malware threats for FREE!","","rcsPopUp.text",false,"rcsPopUp text","rcsPopUp text"
"src/components/RCSPopUp/RCSPopUp.js","our new website","","rcsPopUp.text.end",false,"rcsPopUp text end","rcsPopUp text end"
"src/components/RCSPopUp/RCSPopUp.js",Or,"","rcsPopUp.text.start",false,"rcsPopUp text start","rcsPopUp text start"
"src/components/RCSPopUp/RCSPopUp.js","A New","","rcsPopUp.title1",false,"rcsPopUp.title1","rcsPopUp.title1"
"src/components/RCSPopUp/RCSPopUp.js","to Feel Safe!","","rcsPopUp.title2",false,"rcsPopUp.title2","rcsPopUp.title2"
"src/components/SpecsNote/SpecsNote.js","GET IT NOW","FÅ DEN NÅ","specsNote.button",false,"specsNote button","specsNote button"
"src/components/SpecsNote/SpecsNote.js","System requirements and specifications","","specsNote.subTitle",false,"specsNote subTitle","specsNote subTitle"
"src/components/SpecsNote/SpecsNote.js","A PC with Windows 10, 8.1, 8, 7, 256 MB RAM or more, and 0.5 GB of hard disk free space.","","specsNote.text",false,"specsNote text","specsNote text"
"src/components/SpecsNote/SpecsNote.js","Don’t worry, <br>Reason’s got your back","","specsNote.title",false,"specsNote title","specsNote title"
"src/routes/Home/components/Features/messages.js","Real-time protection keeps you protected all the time from dangerous infections and unwanted software.","Konstant beskyttelse beskytter deg <br/>hele tiden mot skadelige virus og uønsket programvare.","home.features.feature1text",false,"Home Features feature1text","Home Features feature1text"
"src/routes/Home/components/Features/messages.js","PROTECTED 24/7","BESKYTTELSE 24/7","home.features.feature1title",false,"Home Features feature1title","Home Features feature1title"
"src/routes/Home/components/Features/messages.js","Robust protection against all malware. Scans and removes harmful Trojans, Worms and Spyware.","Feilfri beskyttelse mot all malware.<br/> Skanner og fjerner skadelig Trojanere, Worms og Spyware.","home.features.feature2text",false,"Home Features feature2text","Home Features feature2text"
"src/routes/Home/components/Features/messages.js","REMOVES HARMFUL MALWARE","FJERNER SKADELIG MALWARE","home.features.feature2title",false,"Home Features feature2title","Home Features feature2title"
"src/routes/Home/messages.js","Free Download","Gratis nedlasting","home.header.button",false,"Home Header Button","Home Header Button"
"src/routes/Home/messages.js","Ultimate protection against Malware, Spyware and Crapware, for Free","Ultimat beskyttelse mot Malware, Spyware og Crapware, helt gratis!","home.header.title",false,"Home Header Title","Home Header Title"
"src/routes/Home/components/Infected/messages.js","Free Download","Gratis nedlasting","home.infected.button",false,"Home Infected Button","Home Infected Button"
"src/routes/Home/components/Infected/messages.js","ByteFence Anti-malware’s cutting edge software detects and removes Trojans, Worms, Spyware, Crapware and other high risk malware.","ByteFence Anti-malware’s innovative programvare finner og fjerner Trojanere, Worms, Spyware, Crapware og andre høyrisko malware.","home.infected.left",false,"Home Infected Left","Home Infected Left"
"src/routes/Home/components/Infected/messages.js","ByteFence is the ultimate protection against crapware and bundleware that sneak in potentially unwanted programs and ads.","ByteFence er et ultimat beskyttelsesprogram mot crapware og bundleware som sniker inn potensielle trusler og reklamer.","home.infected.right",false,"Home Infected Right","Home Infected Right"
"src/routes/Home/components/Infected/messages.js","Is your computer <b>infected</b> with hidden Malware?","","home.infected.title",false,"Home Infected Title","Home Infected Title"
"src/routes/messages.js",Monthly,Månedlig,"1m.buyPage.periodTitle",false,"1m.buyPage.periodTitle","1m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every month","","1m.monthlyBuyPage.chargeComment",false,"1m.monthlyBuyPage.chargeComment","1m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 MONTH LICENSE",1-månedslisens,"1m.monthlyBuyPage.periodTitle",false,"1m.monthlyBuyPage.periodTitle","1m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 MONTH LICENSE",1-månedslisens,"1m.monthlyPlanPicker.caption",false,"1m.monthlyPlanPicker.caption","1m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every month","","1m.monthlyPlanPicker.chargeComment",false,"1m.monthlyPlanPicker.chargeComment","1m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Monthly Plan","Månedlig plan","1m.planPicker.caption",false,"1m.planPicker.caption","1m.planPicker.caption"
"src/routes/messages.js",Monthly,Månedlig,"1m.planPicker.periodTitle",false,"1m.planPicker.periodTitle","1m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Monthly plan","Noen fra <%geo%> har nettopp kjøpt en månedlig plan","1m.planPicker.salePrompt",false,"1m.planPicker.salePrompt","1m.planPicker.salePrompt"
"src/routes/messages.js","1 month license",1-månedslisens,"1m.receipt.caption",false,"1m.receipt.caption","1m.receipt.caption"
"src/routes/messages.js",Yearly,Årlig,"1y.buyPage.periodTitle",false,"1y.buyPage.periodTitle","1y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","","1y.monthlyBuyPage.chargeComment",false,"1y.monthlyBuyPage.chargeComment","1y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR LICENSE",1-årslises,"1y.monthlyBuyPage.periodTitle",false,"1y.monthlyBuyPage.periodTitle","1y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR LICENSE",1-årslises,"1y.monthlyPlanPicker.caption",false,"1y.monthlyPlanPicker.caption","1y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","","1y.monthlyPlanPicker.chargeComment",false,"1y.monthlyPlanPicker.chargeComment","1y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Annual Plan","Årlig plan","1y.planPicker.caption",false,"1y.planPicker.caption","1y.planPicker.caption"
"src/routes/messages.js",Yearly,Årlig,"1y.planPicker.periodTitle",false,"1y.planPicker.periodTitle","1y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Yearly plan","Noen fra <%geo%> har nettopp kjøpt en årlig plan","1y.planPicker.salePrompt",false,"1y.planPicker.salePrompt","1y.planPicker.salePrompt"
"src/routes/messages.js","1 year license",1-årslises,"1y.receipt.caption",false,"1y.receipt.caption","1y.receipt.caption"
"src/routes/messages.js",Yearly,Årlig,"1y3.buyPage.periodTitle",false,"1y3.buyPage.periodTitle","1y3.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","","1y3.monthlyBuyPage.chargeComment",false,"1y3.monthlyBuyPage.chargeComment","1y3.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 år, 3 lisenser","1y3.monthlyBuyPage.periodTitle",false,"1y3.monthlyBuyPage.periodTitle","1y3.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 år, 3 lisenser","1y3.monthlyPlanPicker.caption",false,"1y3.monthlyPlanPicker.caption","1y3.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","","1y3.monthlyPlanPicker.chargeComment",false,"1y3.monthlyPlanPicker.chargeComment","1y3.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","FAMILY PACK",Familiepakke,"1y3.planPicker.caption",false,"1y3.planPicker.caption","1y3.planPicker.caption"
"src/routes/messages.js",Yearly,Årlig,"1y3.planPicker.periodTitle",false,"1y3.planPicker.periodTitle","1y3.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Family pack","Noen fra <%geo%> har nettopp kjøpt en Familiepakke","1y3.planPicker.salePrompt",false,"1y3.planPicker.salePrompt","1y3.planPicker.salePrompt"
"src/routes/messages.js","Protect 3 Family Members","Beskytt 3 familiemedlemmer","1y3.planPicker.specialCaption",false,"1y3.planPicker.specialCaption","1y3.planPicker.specialCaption"
"src/routes/messages.js","Purchase 3 ByteFence Pro licenses at a discount price","Kjøp 3 ByteFence Pro-lisenser til en redusert pris","1y3.planPicker.specialPlanDescription",false,"1y3.planPicker.specialPlanDescription","1y3.planPicker.specialPlanDescription"
"src/routes/messages.js","Keep Your Family and Friends Protected","Hold din familie og dine venner beskyttet","1y3.planPicker.specialPlanHeading",false,"1y3.planPicker.specialPlanHeading","1y3.planPicker.specialPlanHeading"
"src/routes/messages.js","family pack 1 year license","","1y3.receipt.caption",false,"1y3.receipt.caption","1y3.receipt.caption"
"src/routes/messages.js","You can activate 3 different computers using the same license key.","Du kan aktivere 3 forskjellige datamaskiner ved bruk av samme lisensnøkkel.","1y3.successPage.licenceCaption",false,"1y3.successPage.licenceCaption","1y3.successPage.licenceCaption"
"src/routes/messages.js","2 YEARS","2 år","2y.buyPage.periodTitle",false,"2y.buyPage.periodTitle","2y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 24 months","","2y.monthlyBuyPage.chargeComment",false,"2y.monthlyBuyPage.chargeComment","2y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE",2-årslisens,"2y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","2 YEARS LICENSE",2-årslisens,"2y.monthlyPlanPicker.caption",false,"2y.monthlyPlanPicker.caption","2y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 24 months","","2y.monthlyPlanPicker.chargeComment",false,"2y.monthlyPlanPicker.chargeComment","2y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Two Years Plan",To-årsplan,"2y.planPicker.caption",false,"2y.planPicker.caption","2y.planPicker.caption"
"src/routes/messages.js","2 YEARS","2 år","2y.planPicker.periodTitle",false,"2y.planPicker.periodTitle","2y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 2 years plan","Noen fra <%geo%> har nettopp kjøpt en 2-årsplan","2y.planPicker.salePrompt",false,"2y.planPicker.salePrompt","2y.planPicker.salePrompt"
"src/routes/messages.js","2 years license",2-årslisens,"2y.receipt.caption",false,"2y.receipt.caption","2y.receipt.caption"
"src/routes/messages.js","3 YEARS","3 år","3y.buyPage.periodTitle",false,"3y.buyPage.periodTitle","3y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 36 months","","3y.monthlyBuyPage.chargeComment",false,"3y.monthlyBuyPage.chargeComment","3y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE",2-årslisens,"3y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","3 YEARS LICENSE",3-årslisens,"3y.monthlyPlanPicker.caption",false,"3y.monthlyPlanPicker.caption","3y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 36 months","","3y.monthlyPlanPicker.chargeComment",false,"3y.monthlyPlanPicker.chargeComment","3y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Three Years Plan",Tre-årsplan,"3y.planPicker.caption",false,"3y.planPicker.caption","3y.planPicker.caption"
"src/routes/messages.js","3 YEARS","3 år","3y.planPicker.periodTitle",false,"3y.planPicker.periodTitle","3y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 3 years plan","Noen fra <%geo%> har nettopp kjøpt en 3-årsplan","3y.planPicker.salePrompt",false,"3y.planPicker.salePrompt","3y.planPicker.salePrompt"
"src/routes/messages.js","3 years license",3-årslisens,"3y.receipt.caption",false,"3y.receipt.caption","3y.receipt.caption"
"src/routes/messages.js","6 Months","6 måneder","6m.buyPage.periodTitle",false,"6m.buyPage.periodTitle","6m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 6 months","","6m.monthlyBuyPage.chargeComment",false,"6m.monthlyBuyPage.chargeComment","6m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","6 MONTHS LICENSE",6-månedslisens,"6m.monthlyBuyPage.periodTitle",false,"6m.monthlyBuyPage.periodTitle","6m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","6 MONTHS LICENSE",6-månedslisens,"6m.monthlyPlanPicker.caption",false,"6m.monthlyPlanPicker.caption","6m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 6 months","","6m.monthlyPlanPicker.chargeComment",false,"6m.monthlyPlanPicker.chargeComment","6m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Semi-Annual Plan","Semi-årlig plan","6m.planPicker.caption",false,"6m.planPicker.caption","6m.planPicker.caption"
"src/routes/messages.js","6 Months","6 måneder","6m.planPicker.periodTitle",false,"6m.planPicker.periodTitle","6m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 6 months plan","Noen fra <%geo%> har nettopp kjøpt en 6-månedersplan","6m.planPicker.salePrompt",false,"6m.planPicker.salePrompt","6m.planPicker.salePrompt"
"src/routes/messages.js","6 months license",6-månedslisens,"6m.receipt.caption",false,"6m.receipt.caption","6m.receipt.caption"
"src/routes/messages.js",Argentina,Argentina,"general.Argentina",false,"general.Argentina","general.Argentina"
"src/routes/messages.js",Australia,Australia,"general.Australia",false,"general.Australia","general.Australia"
"src/routes/messages.js",Brazil,Brasil,"general.Brazil",false,"general.Brazil","general.Brazil"
"src/routes/messages.js",Canada,Canada,"general.Canada",false,"general.Canada","general.Canada"
"src/routes/messages.js",Egypt,Egypt,"general.Egypt",false,"general.Egypt","general.Egypt"
"src/routes/messages.js",France,Frankrike,"general.France",false,"general.France","general.France"
"src/routes/messages.js",Germany,Tyskland,"general.Germany",false,"general.Germany","general.Germany"
"src/routes/messages.js",India,India,"general.India",false,"general.India","general.India"
"src/routes/messages.js",Italy,Italia,"general.Italy",false,"general.Italy","general.Italy"
"src/routes/messages.js",Japan,Japan,"general.Japan",false,"general.Japan","general.Japan"
"src/routes/messages.js",Mexico,Mexico,"general.Mexico",false,"general.Mexico","general.Mexico"
"src/routes/messages.js","New Zealand","New Zealand","general.NewZealand",false,"general.New Zealand","general.New Zealand"
"src/routes/messages.js",Norway,Norge,"general.Norway",false,"general.Norway","general.Norway"
"src/routes/messages.js",Portugal,Portugal,"general.Portugal",false,"general.Portugal","general.Portugal"
"src/routes/messages.js",Recommended,Anbefalt,"general.Recommended",false,"general.Recommended","general.Recommended"
"src/routes/messages.js","Saudi Arabia",Saudi-Arabia,"general.SaudiArabia",false,"general.Saudi Arabia","general.Saudi Arabia"
"src/routes/messages.js",Spain,Spania,"general.Spain",false,"general.Spain","general.Spain"
"src/routes/messages.js",Switzerland,Sveits,"general.Switzerland",false,"general.Switzerland","general.Switzerland"
"src/routes/messages.js","United Kingdom",Storbritannia,"general.UnitedKingdom",false,"general.United Kingdom","general.United Kingdom"
"src/routes/messages.js","BEST DEAL","BESTE AVTALE","general.bestDeal",false,"general.bestDeal","general.bestDeal"
"src/routes/messages.js","ByteFence’s cutting edge software detects and removes Trojans, Worms, Spyware, and other high risk malware.","ByteFences toppkvalitetsprogram finner og tar bort trojanere, ormer, spionprogram og andre høyrisikovirus.","general.byteFenceProduct",false,"general.byteFenceProduct","general.byteFenceProduct"
"src/routes/messages.js","At ByteFence we care about your online privacy, check out this special offer that will guarantee your privacy.","Hos ByteFence bryr vi oss om privatlivet ditt på nett, sjekk derfor ut dette eksklusive tilbudet som garanterer din sikkerhet.","general.cartDescription",false,"general.cartDescription","general.cartDescription"
"src/routes/messages.js","ByteFence Anti-malware’s cutting edge software detects and removes Trojans, Worms, Spyware, Crapware and other high risk malware","ByteFence Anti-malware’s innovative programvare finner og fjerner Trojanere, Worms, Spyware, Crapware og andre høyrisko malware.","general.description",false,"general.description","general.description"
"src/routes/messages.js","Secure 3 computers. ByteFence Family Pack protects your family against Trojans, Worms, Spyware, Crapware and other high risk malware.","Beskytt 3 datamaskiner. ByteFence Familiepakke beskytter din familie mot Trojanere, Womrs, Spyware, Crapware og andre høyrisiko malware.","general.familyDescription",false,"general.familyDescription","general.familyDescription"
"src/routes/messages.js",Month,Måned,"general.month",false,"general.month","general.month"
"src/routes/messages.js","{currency}{price} Monthly Value","","general.monthlyValue",false,"general.monthlyValue","general.monthlyValue"
"src/routes/messages.js","Browse anonymously, secure your internet connection, and unblock any website. Protect yourself with a VPN.","Surf anonymt, beskytt din internettilkobling og avblokkere enhver nettside. Beskytt deg selv med en VPN.","general.saferVpnProduct",false,"general.saferVpnProduct","general.saferVpnProduct"
"src/routes/messages.js","United States",USA,"general.us",false,"general.us","general.us"
"src/routes/NotFound/NotFound.js","Reason Home Page","","notFound.homeLink",false,"404 homeLink","404 homeLink"
"src/routes/NotFound/NotFound.js","Reason Store.","","notFound.shopLink",false,"404 shopLink","404 shopLink"
"src/routes/NotFound/NotFound.js","support team.","","notFound.supportLink",false,"404 supportLink","404 supportLink"
"src/routes/NotFound/NotFound.js","Instead, you are welcome to navigate to the","","notFound.text.one",false,"404 text part one","404 text part one"
"src/routes/NotFound/NotFound.js","If you’ve encountered a problem, please contact our","","notFound.text.three",false,"404 text part three","404 text part three"
"src/routes/NotFound/NotFound.js","or visit the","","notFound.text.two",false,"404 text part two","404 text part two"
"src/routes/NotFound/NotFound.js","We can give you","","notFound.title.one",false,"404 title part one","404 title part one"
"src/routes/NotFound/NotFound.js","ns why this page isn’t working","","notFound.title.three",false,"404 title part three","404 title part three"
"src/routes/NotFound/NotFound.js",Reas,"","notFound.title.two",false,"404 title part two","404 title part two"
"src/components/ContactForm/ContactForm.test.js","Access my data","","contact.category.access",false,"contact category access","contact category access"
"src/components/ContactForm/ContactForm.test.js","Delete my data","","contact.category.delete",false,"contact category delete","contact category delete"
"src/components/ContactForm/messages.js","Have you purchased ByteFence Anti Malware?","Har du kjøpt ByteFence Anti Malware?","contact.category.purchase",false,"contact category purchase","contact category purchase"
"src/components/ContactForm/messages.js","Please choose a category","","contact.error.category",false,"contact us - category error","contact us - category error"
"src/components/ContactForm/messages.js","Please enter your contact request details","","contact.error.description",false,"contact us - description error","contact us - description error"
"src/components/ContactForm/messages.js","description is too long, max 350 characters","","contact.error.descriptionLengthError",false,"contact us - descriptionLengthError error","contact us - descriptionLengthError error"
"src/components/ContactForm/messages.js","Please enter a valid Email","Vennligst fyll inn en godtatt e-postadresse","contact.error.email",false,"contact us - email error","contact us - email error"
"src/components/ContactForm/messages.js","Please enter a valid full name","","contact.error.name",false,"contact us - name error","contact us - name error"
"src/components/ContactForm/messages.js",Required,"","contact.error.purchase",false,"contact us - purchase error","contact us - purchase error"
"src/components/ContactForm/messages.js","Please type a subject","","contact.error.subject",false,"contact us - subject error","contact us - subject error"
"src/components/ContactForm/messages.js","Subject is too long, max 180 characters","","contact.error.subjectLength",false,"contact us - subjectLength error","contact us - subjectLength error"
"src/components/ContactForm/messages.js","We encountered an error while trying to send your request. Please try again later.","","contact.error.submit",false,"contact us - submit error","contact us - submit error"
"src/components/ContactForm/messages.js",Description,Beskrivelse,"contact.labels.Description",false,"contact us labels - Description","contact us labels - Description"
"src/components/ContactForm/messages.js","Choose category","Velg kategori","contact.labels.categorySelect",false,"contact us labels - Choose category","contact us labels - Choose category"
"src/components/ContactForm/messages.js","Email address used during registration","Epostadresse brukt ved registrering","contact.labels.emailAdd",false,"contact us labels - Email during registration","contact us labels - Email during registration"
"src/components/ContactForm/messages.js","First and Last name","For- og etternavn","contact.labels.name",false,"contact us labels - First and Last name","contact us labels - First and Last name"
"src/components/ContactForm/messages.js",Subject,Emne,"contact.labels.subjects",false,"contact us labels - Subject","contact us labels - Subject"
"src/components/ContactForm/messages.js",No,Nei,"contact.purchase.no",false,"contact us - purchase no","contact us - purchase no"
"src/components/ContactForm/messages.js",Yes,Ja,"contact.purchase.yes",false,"contact us - purchase yes","contact us - purchase yes"
"src/components/ContactForm/messages.js",SUBMIT,"Send inn","contact.submit",false,"contact us - send","contact us - send"
"src/routes/contact/messages.js","Activation help",Aktiveringshjelp,"contact.category.activation",false,"contact category activation","contact category activation"
"src/routes/contact/messages.js","Billing, renewal or refund question","Betalings-, fornyings- og tilbakebetalingsspørsmål","contact.category.billing",false,"contact category billing","contact category billing"
"src/routes/contact/messages.js","ByteVPN questions",ByteVPN,"contact.category.bytevpn",false,"contact category bytevpn","contact category bytevpn"
"src/routes/contact/messages.js",Errors,Feil,"contact.category.errors",false,"contact category errors","contact category errors"
"src/routes/contact/messages.js","Help choosing a plan","Hjelp å velge en plan","contact.category.help",false,"contact category help","contact category help"
"src/routes/contact/messages.js","License key assistance",Lisensnøkkelhjelp,"contact.category.license",false,"contact category license","contact category license"
"src/routes/contact/messages.js",Other,Annet,"contact.category.other",false,"contact category other","contact category other"
"src/routes/contact/messages.js","Removing ByteFence","Fjern ByteFence","contact.category.remove",false,"contact category remove","contact category remove"
"src/routes/contact/messages.js",Error,Feil,"contact.error",false,"contact error","contact error"
"src/routes/contact/messages.js",OK,OK,"contact.success.ok",false,"contact us - success.ok","contact us - success.ok"
"src/routes/contact/messages.js","Message Sent!","","contact.success.sentOk",false,"contact us - success.sentOk","contact us - success.sentOk"
"src/routes/contact/messages.js","Your message to Reason support team was sent successfully.","","contact.success.sentOkBody",false,"contact us - success.sentOkBody","contact us - success.sentOkBody"
"src/routes/contact/messages.js","We couldn't send your request. You can try again later or approach our support directly at <b>support@reasonsecurity.com</b>.","","error.submit.contact",false,"contact us - submit error pop up","contact us - submit error pop up"
"src/components/PaymentForm/text.js","Credit Card","","payment.credit.cart",false,"payment.credit.cart","payment.credit.cart"
"src/components/PaymentForm/text.js",CVC,"","payment.cvc",false,"payment.cvc","payment.cvc"
"src/components/PaymentForm/text.js","In American Express - The 4 digits code on the front of your card:","","payment.cvc.tip.bottom",false,"payment.cvc.tip.bottom","payment.cvc.tip.bottom"
"src/components/PaymentForm/text.js","The 3 digits security code on the back of your card:","","payment.cvc.tip.top",false,"payment.cvc.tip.top","payment.cvc.tip.top"
"src/components/PaymentForm/text.js","Please enter a valid credit card","Vennligst fyll inn et godtatt kredittkort","payment.error.card",false,"Payment Field Card Error Message","Payment Field Card Error Message"
"src/components/PaymentForm/text.js","Enter a valid Country","","payment.error.country",false,"Payment Field Country Error Message","Payment Field Country Error Message"
"src/components/PaymentForm/text.js","Please enter a valid security code","Vennligst fyll inn en godtatt security-kode","payment.error.cvc",false,"Payment Field CVC Error Message","Payment Field CVC Error Message"
"src/components/PaymentForm/text.js","Please enter a valid email","Vennligst fyll inn en godtatt e-postadresse","payment.error.email",false,"Payment Field Email Error Message","Payment Field Email Error Message"
"src/components/PaymentForm/text.js","Please enter a valid expiry date","Vennligst fyll inn en godtatt utgangsdato","payment.error.expiry",false,"Payment Field Expiry date Error Message","Payment Field Expiry date Error Message"
"src/components/PaymentForm/text.js","Please enter a valid first name","Vennligst fyll inn et godtatt fornavn","payment.error.first.Name",false,"Payment Field First Name Error Message","Payment Field First Name Error Message"
"src/components/PaymentForm/text.js","Please enter a valid last name","Vennligst fyll inn et godtatt etternavn","payment.error.last.Name",false,"Payment Field Last Name Error Message","Payment Field Last Name Error Message"
"src/components/PaymentForm/text.js","Please enter a valid ZIP code","Vennligst skriv inn en gyldig postnummer","payment.error.zip",false,"Payment Field zip Error Message","Payment Field zip Error Message"
"src/components/PaymentForm/text.js",Country,Land,"payment.labels.Country",false,"payment labels - Choose Country","payment labels - Choose Country"
"src/components/PaymentForm/text.js","Card Number",Kortnummer,"payment.labels.card",false,"payment labels - card","payment labels - card"
"src/components/PaymentForm/text.js","Email Address",E-postadresse,"payment.labels.emailAdd",false,"payment labels - Email","payment labels - Email"
"src/components/PaymentForm/text.js","First Name",Fornavn,"payment.labels.first.name",false,"payment labels - First name","payment labels - First name"
"src/components/PaymentForm/text.js","Last Name",Etternavn,"payment.labels.last.name",false,"payment labels - last name","payment labels - last name"
"src/components/PaymentForm/text.js","ZIP Code","Post kode","payment.labels.zip",false,"payment labels - zip code","payment labels - zip code"
"src/components/PaymentForm/text.js",Month,Måned,"payment.month",false,"payment.month","payment.month"
"src/components/PaymentForm/text.js","Buy Now","Kjøp nå","payment.next",false,"payment.next","payment.next"
"src/components/PaymentForm/text.js","Secure payment. All major credit cards accepted.","Sikker betaling. Alle store kredittkort akseptert.","payment.secureNote",false,"payment.secureNote","payment.secureNote"
"src/components/PaymentForm/text.js",Year,År,"payment.year",false,"payment.year","payment.year"
"src/routes/cart/messages.js",Error,Feil,error,false,error,error
"src/routes/cart/messages.js","Reason Premium Antivirus is not supported in your country. <br><br>We apologize for the inconvenience.","","error.blocked",false,"error.blocked","error.blocked"
"src/routes/cart/messages.js","OK, Got it.","","error.okGotIt",false,"error.okGotIt","error.okGotIt"
"src/routes/contact/messages.js","EMEA - 9:00 AM to 7:00 PM (GMT +1), Monday - Friday","","contact.emea",false,"contact us - EMEA","contact us - EMEA"
"src/routes/contact/messages.js","Support Hours:",Kundeservicetider:,"contact.headerTitle",false,"contact us - headerTitle","contact us - headerTitle"
