location,source,target,id,fuzzy,context,developer_comments
"src/components/DownloadButton/DownloadButton.js","ByteFence Anti-Malware application is not compatible with your operating system.","","error.downloadBlocked",false,"error.downloadBlocked","error.downloadBlocked"
"src/components/DownloadButton/DownloadButton.js","Download Error","다운로드 오류","error.downloadError",false,"error.downloadError","error.downloadError"
"src/components/DownloadButton/DownloadButton.js",OK,OK,"error.ok",false,"error.ok","error.ok"
"src/components/DownloadButton/DownloadButton.test.js,src/components/UiButton/RavButton.test.js","TRY FOR FREE","","header.test",false,"try for free top button","try for free top button"
"src/components/Footer/messages.js",Company,회사,"footer.link.company",false,"Footer Company Link","Footer Company Link"
"src/components/Footer/messages.js","Contact Us",연락정보,"footer.link.contactUs",false,"Footer contactUs Link","Footer contactUs Link"
"src/components/Footer/messages.js","ByteFence Free","Byte<strong>Fence <span>프리</span></strong>","footer.link.free",false,"Footer Bytefence Free Link","Footer Bytefence Free Link"
"src/components/Footer/messages.js","ByteFence Pro","Byte<strong>Fence <span>Pro</span></strong>","footer.link.pro",false,"Footer Bytefence Pro Link","Footer Bytefence Pro Link"
"src/components/Footer/messages.js",Renew,"구매 | 갱신","footer.link.renew",false,"Footer Bytefence Renew Link","Footer Bytefence Renew Link"
"src/components/Footer/messages.js",Support,지원,"footer.link.support",false,"Footer support Link","Footer support Link"
"src/components/Footer/messages.js","Privacy Policy","개인정보 보호정책","footer.privacy",false,"Footer Privacy policy link","Footer Privacy policy link"
"src/components/Footer/messages.js","Terms of Use","","footer.terms",false,"Footer Terms link","Footer Terms link"
"src/components/Footer/messages.js",About,소개,"footer.title.about",false,"Footer Bytefence About title","Footer Bytefence About title"
"src/components/Footer/messages.js","Help And Support","도움 및 지원","footer.title.helpAndSupport",false,"Footer helpAndSupport title","Footer helpAndSupport title"
"src/components/Footer/messages.js",Products,제품,"footer.title.products",false,"Footer products title","Footer products title"
"src/components/Plan/messages.js","Choose Plan","플랜 선택","plan.btnTxt",false,"plan.btnTxt","plan.btnTxt"
"src/components/RCSPopUp/RCSPopUp.js","TRY NOW","","rcsPopUp.button",false,"rcsPopUp button","rcsPopUp button"
"src/components/RCSPopUp/RCSPopUp.js","check out","","rcsPopUp.link",false,"rcsPopUp link","rcsPopUp link"
"src/components/RCSPopUp/RCSPopUp.js","We’ve just launched a new antivirus software, which includes all of Reason Core Security features and more!","","rcsPopUp.subTitle",false,"rcsPopUp sub title","rcsPopUp sub title"
"src/components/RCSPopUp/RCSPopUp.js","Now you can scan and remove viruses and other malware threats for FREE!","","rcsPopUp.text",false,"rcsPopUp text","rcsPopUp text"
"src/components/RCSPopUp/RCSPopUp.js","our new website","","rcsPopUp.text.end",false,"rcsPopUp text end","rcsPopUp text end"
"src/components/RCSPopUp/RCSPopUp.js",Or,"","rcsPopUp.text.start",false,"rcsPopUp text start","rcsPopUp text start"
"src/components/RCSPopUp/RCSPopUp.js","A New","","rcsPopUp.title1",false,"rcsPopUp.title1","rcsPopUp.title1"
"src/components/RCSPopUp/RCSPopUp.js","to Feel Safe!","","rcsPopUp.title2",false,"rcsPopUp.title2","rcsPopUp.title2"
"src/components/SpecsNote/SpecsNote.js","GET IT NOW","지금 구매하세요","specsNote.button",false,"specsNote button","specsNote button"
"src/components/SpecsNote/SpecsNote.js","System requirements and specifications","","specsNote.subTitle",false,"specsNote subTitle","specsNote subTitle"
"src/components/SpecsNote/SpecsNote.js","A PC with Windows 10, 8.1, 8, 7, 256 MB RAM or more, and 0.5 GB of hard disk free space.","","specsNote.text",false,"specsNote text","specsNote text"
"src/components/SpecsNote/SpecsNote.js","Don’t worry, <br>Reason’s got your back","","specsNote.title",false,"specsNote title","specsNote title"
"src/routes/Home/components/Features/messages.js","Real-time protection keeps you protected all the time from dangerous infections and unwanted software.","실시간 보호로 위험한 감염과 원치않는 소프트웨어로부터 <br/>항시 보호해줍니다.","home.features.feature1text",false,"Home Features feature1text","Home Features feature1text"
"src/routes/Home/components/Features/messages.js","PROTECTED 24/7","항시 보호","home.features.feature1title",false,"Home Features feature1title","Home Features feature1title"
"src/routes/Home/components/Features/messages.js","Robust protection against all malware. Scans and removes harmful Trojans, Worms and Spyware.","모든 멀웨어에 대한 강력한 보호. <br/> 해로운 Trojans, Worms, Spyware를 스캔하고 제거하세요.","home.features.feature2text",false,"Home Features feature2text","Home Features feature2text"
"src/routes/Home/components/Features/messages.js","REMOVES HARMFUL MALWARE","해로운 멀웨어 제거","home.features.feature2title",false,"Home Features feature2title","Home Features feature2title"
"src/routes/Home/messages.js","Free Download","무료 다운로드","home.header.button",false,"Home Header Button","Home Header Button"
"src/routes/Home/messages.js","Ultimate protection against Malware, Spyware and Crapware, for Free","멀웨어, Spyware, Crapware에 대한 최고의 무료 프로텍션","home.header.title",false,"Home Header Title","Home Header Title"
"src/routes/Home/components/Infected/messages.js","Free Download","무료 다운로드","home.infected.button",false,"Home Infected Button","Home Infected Button"
"src/routes/Home/components/Infected/messages.js","ByteFence Anti-malware’s cutting edge software detects and removes Trojans, Worms, Spyware, Crapware and other high risk malware.","ByteFence 안티-멀웨어는 최신 Trojans, Worms, Spyware, Crapware, 기타 고위험 멀웨어를 감지 및 제거합니다","home.infected.left",false,"Home Infected Left","Home Infected Left"
"src/routes/Home/components/Infected/messages.js","ByteFence is the ultimate protection against crapware and bundleware that sneak in potentially unwanted programs and ads.","ByteFence는 원하지 않는 프로그램과 광고를 잠재적으로 가져오는 crapware와 bundleware를 막는 최고의 보호 소프트웨어입니다.","home.infected.right",false,"Home Infected Right","Home Infected Right"
"src/routes/Home/components/Infected/messages.js","Is your computer <b>infected</b> with hidden Malware?","","home.infected.title",false,"Home Infected Title","Home Infected Title"
"src/routes/messages.js",Monthly,월별,"1m.buyPage.periodTitle",false,"1m.buyPage.periodTitle","1m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every month","","1m.monthlyBuyPage.chargeComment",false,"1m.monthlyBuyPage.chargeComment","1m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 MONTH LICENSE","1 개월 라이센스","1m.monthlyBuyPage.periodTitle",false,"1m.monthlyBuyPage.periodTitle","1m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 MONTH LICENSE","1 개월 라이센스","1m.monthlyPlanPicker.caption",false,"1m.monthlyPlanPicker.caption","1m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every month","","1m.monthlyPlanPicker.chargeComment",false,"1m.monthlyPlanPicker.chargeComment","1m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Monthly Plan","월별 플랜","1m.planPicker.caption",false,"1m.planPicker.caption","1m.planPicker.caption"
"src/routes/messages.js",Monthly,월별,"1m.planPicker.periodTitle",false,"1m.planPicker.periodTitle","1m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Monthly plan","<%geo%>의 누군가가 1개월 플랜을 구매했습니다","1m.planPicker.salePrompt",false,"1m.planPicker.salePrompt","1m.planPicker.salePrompt"
"src/routes/messages.js","1 month license","1 개월 라이센스","1m.receipt.caption",false,"1m.receipt.caption","1m.receipt.caption"
"src/routes/messages.js",Yearly,연간,"1y.buyPage.periodTitle",false,"1y.buyPage.periodTitle","1y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","","1y.monthlyBuyPage.chargeComment",false,"1y.monthlyBuyPage.chargeComment","1y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR LICENSE","1 년 라이센스","1y.monthlyBuyPage.periodTitle",false,"1y.monthlyBuyPage.periodTitle","1y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR LICENSE","1 년 라이센스","1y.monthlyPlanPicker.caption",false,"1y.monthlyPlanPicker.caption","1y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","","1y.monthlyPlanPicker.chargeComment",false,"1y.monthlyPlanPicker.chargeComment","1y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Annual Plan","연간 플랜","1y.planPicker.caption",false,"1y.planPicker.caption","1y.planPicker.caption"
"src/routes/messages.js",Yearly,연간,"1y.planPicker.periodTitle",false,"1y.planPicker.periodTitle","1y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Yearly plan","<%geo%>의 누군가가 1년 플랜을 구매했습니다","1y.planPicker.salePrompt",false,"1y.planPicker.salePrompt","1y.planPicker.salePrompt"
"src/routes/messages.js","1 year license","1 년 라이센스","1y.receipt.caption",false,"1y.receipt.caption","1y.receipt.caption"
"src/routes/messages.js",Yearly,연간,"1y3.buyPage.periodTitle",false,"1y3.buyPage.periodTitle","1y3.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","","1y3.monthlyBuyPage.chargeComment",false,"1y3.monthlyBuyPage.chargeComment","1y3.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 년 3 라이센스","1y3.monthlyBuyPage.periodTitle",false,"1y3.monthlyBuyPage.periodTitle","1y3.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR 3 LICENSES","1 년 3 라이센스","1y3.monthlyPlanPicker.caption",false,"1y3.monthlyPlanPicker.caption","1y3.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","","1y3.monthlyPlanPicker.chargeComment",false,"1y3.monthlyPlanPicker.chargeComment","1y3.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","FAMILY PACK","가족 패키지","1y3.planPicker.caption",false,"1y3.planPicker.caption","1y3.planPicker.caption"
"src/routes/messages.js",Yearly,연간,"1y3.planPicker.periodTitle",false,"1y3.planPicker.periodTitle","1y3.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Family pack","<%geo%>의 누군가가 패밀리 패키지를 구매했습니다","1y3.planPicker.salePrompt",false,"1y3.planPicker.salePrompt","1y3.planPicker.salePrompt"
"src/routes/messages.js","Protect 3 Family Members","3 명의 가족 구성원 보호","1y3.planPicker.specialCaption",false,"1y3.planPicker.specialCaption","1y3.planPicker.specialCaption"
"src/routes/messages.js","Purchase 3 ByteFence Pro licenses at a discount price","3 개의 ByteFence Pro 라이센스를 할인된 가격으로 구매하세요","1y3.planPicker.specialPlanDescription",false,"1y3.planPicker.specialPlanDescription","1y3.planPicker.specialPlanDescription"
"src/routes/messages.js","Keep Your Family and Friends Protected","당신의 친구들과 가족을 안전하게 보호하세요","1y3.planPicker.specialPlanHeading",false,"1y3.planPicker.specialPlanHeading","1y3.planPicker.specialPlanHeading"
"src/routes/messages.js","family pack 1 year license","","1y3.receipt.caption",false,"1y3.receipt.caption","1y3.receipt.caption"
"src/routes/messages.js","You can activate 3 different computers using the same license key.","동일한 라이센스 키를 사용하여 3 개의 다른 컴퓨터를 활성화할 수 있습니다.","1y3.successPage.licenceCaption",false,"1y3.successPage.licenceCaption","1y3.successPage.licenceCaption"
"src/routes/messages.js","2 YEARS",2년,"2y.buyPage.periodTitle",false,"2y.buyPage.periodTitle","2y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 24 months","","2y.monthlyBuyPage.chargeComment",false,"2y.monthlyBuyPage.chargeComment","2y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE","2 년 라이센스","2y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","2 YEARS LICENSE","2 년 라이센스","2y.monthlyPlanPicker.caption",false,"2y.monthlyPlanPicker.caption","2y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 24 months","","2y.monthlyPlanPicker.chargeComment",false,"2y.monthlyPlanPicker.chargeComment","2y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Two Years Plan","2년 플랜","2y.planPicker.caption",false,"2y.planPicker.caption","2y.planPicker.caption"
"src/routes/messages.js","2 YEARS",2년,"2y.planPicker.periodTitle",false,"2y.planPicker.periodTitle","2y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 2 years plan","<%geo%>의 누군가가 2년 플랜을 구매했습니다","2y.planPicker.salePrompt",false,"2y.planPicker.salePrompt","2y.planPicker.salePrompt"
"src/routes/messages.js","2 years license","2 년 라이센스","2y.receipt.caption",false,"2y.receipt.caption","2y.receipt.caption"
"src/routes/messages.js","3 YEARS",3년,"3y.buyPage.periodTitle",false,"3y.buyPage.periodTitle","3y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 36 months","","3y.monthlyBuyPage.chargeComment",false,"3y.monthlyBuyPage.chargeComment","3y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","2 YEARS LICENSE","2 년 라이센스","3y.monthlyBuyPage.periodTitle",false,"2y.monthlyBuyPage.periodTitle","2y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","3 YEARS LICENSE","3 년 라이센스","3y.monthlyPlanPicker.caption",false,"3y.monthlyPlanPicker.caption","3y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 36 months","","3y.monthlyPlanPicker.chargeComment",false,"3y.monthlyPlanPicker.chargeComment","3y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Three Years Plan","3년 플랜","3y.planPicker.caption",false,"3y.planPicker.caption","3y.planPicker.caption"
"src/routes/messages.js","3 YEARS",3년,"3y.planPicker.periodTitle",false,"3y.planPicker.periodTitle","3y.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 3 years plan","<%geo%>의 누군가가 3년 플랜을 구매했습니다","3y.planPicker.salePrompt",false,"3y.planPicker.salePrompt","3y.planPicker.salePrompt"
"src/routes/messages.js","3 years license","3 년 라이센스","3y.receipt.caption",false,"3y.receipt.caption","3y.receipt.caption"
"src/routes/messages.js","6 Months","6 개월","6m.buyPage.periodTitle",false,"6m.buyPage.periodTitle","6m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 6 months","","6m.monthlyBuyPage.chargeComment",false,"6m.monthlyBuyPage.chargeComment","6m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","6 MONTHS LICENSE","6 개월 라이센스","6m.monthlyBuyPage.periodTitle",false,"6m.monthlyBuyPage.periodTitle","6m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","6 MONTHS LICENSE","6 개월 라이센스","6m.monthlyPlanPicker.caption",false,"6m.monthlyPlanPicker.caption","6m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 6 months","","6m.monthlyPlanPicker.chargeComment",false,"6m.monthlyPlanPicker.chargeComment","6m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Semi-Annual Plan","6개월 플랜","6m.planPicker.caption",false,"6m.planPicker.caption","6m.planPicker.caption"
"src/routes/messages.js","6 Months","6 개월","6m.planPicker.periodTitle",false,"6m.planPicker.periodTitle","6m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a 6 months plan","<%geo%>의 누군가가 6개월 플랜을 구매했습니다","6m.planPicker.salePrompt",false,"6m.planPicker.salePrompt","6m.planPicker.salePrompt"
"src/routes/messages.js","6 months license","6 개월 라이센스","6m.receipt.caption",false,"6m.receipt.caption","6m.receipt.caption"
